Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;16.5333333333;µg-m3;100.0;100;100.0;A;1;48.930319;2.29435
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;21.0833333333;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04012;Place Victor Basch;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;27.0;26.825;µg-m3;100.0;100;100.0;A;1;48.827778;2.3275
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04023;CERGY-PONTOISE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.3333333333;µg-m3;100.0;100;100.0;A;1;49.04639;2.043056
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;29.0;28.7916666667;µg-m3;100.0;100;100.0;A;1;48.868772;2.311231
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.8833333333;µg-m3;100.0;100;100.0;A;1;48.775897;2.375788
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;20.8666666667;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;30.0;29.9411764706;µg-m3;71.0;100;71.0;N;-1;48.925278;2.356667
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04066;Zone rurale Sud;Rurale régionale;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;9.6791666667;µg-m3;100.0;100;100.0;A;1;48.364166;2.236944
2022/01/01 00:00:00;2022/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04098;LOGNES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.7458333333;µg-m3;100.0;100;100.0;A;1;48.84028;2.635278
