Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; 
Code;Libellé;Unités légales dans industrie manufacturière, industries extractives et autres (en nombre) 2021;Part construction dans les créations d'ent. 2023;Population municipale 2022;Créations d'entreprises (en nombre) 2023;Unités légales (en nombre) 2021
01001;L'Abergement-Clémenciat;3;18.8;859;16;45
01002;L'Abergement-de-Varey;3;0;273;3;20
01004;Ambérieu-en-Bugey;50;10;15554;209;1072
01005;Ambérieux-en-Dombes;11;13.6;1917;22;147
01006;Ambléon;0;0;114;2;3
01007;Ambronay;15;8.3;2828;36;147
01008;Ambutrix;1;16.7;764;6;54
01009;Andert-et-Condon;4;0;335;1;24
01010;Anglefort;11;14.3;1150;14;50
01011;Apremont;5;0;399;7;23
01012;Aranc;2;33.3;329;6;20
01013;Arandas;0;0;140;1;7
01014;Arbent;59;22.2;3482;45;330
01015;Arboys en Bugey;8;15.4;688;13;34
01016;Arbigny;2;42.9;459;7;23
01017;Argis;5;33.3;420;6;22
01019;Armix;0;N/A - résultat non disponible;25;N/A - résultat non disponible;2
01021;Ars-sur-Formans;7;5.6;1513;18;108
01022;Artemare;7;16.7;1141;12;87
01023;Asnières-sur-Saône;0;100;77;1;2
01024;Attignat;16;7.4;3372;27;194
01025;Bâgé-Dommartin;15;13.2;4057;38;178
01026;Bâgé-le-Châtel;4;0;987;10;64
01027;Balan;11;12.5;2878;16;146
01028;Baneins;1;28.6;618;7;35
01029;Beaupont;4;14.3;717;7;33
01030;Beauregard;5;13.3;826;15;71
01031;Bellignat;49;3.2;3581;31;259
01032;Béligneux;27;2.2;3484;45;229
01033;Valserhône;55;20;16162;225;870
01034;Belley;57;12;9270;117;720
01035;Belleydoux;5;0;306;3;21
01036;Valromey-sur-Séran;9;0;1350;15;76
01037;Bénonces;2;N/A - résultat non disponible;311;N/A - résultat non disponible;18
01038;Bény;3;16.7;769;6;41
01040;Béréziat;1;0;481;4;22
01041;Bettant;2;33.3;762;3;32
01042;Bey;0;0;290;2;14
01043;Beynost;30;8.9;4936;90;545
01044;Billiat;3;20;669;5;34
01045;Birieux;1;0;280;3;16
01046;Biziat;4;0;897;11;39
01047;Blyes;25;14.3;1351;21;125
01049;La Boisse;20;5.6;3401;54;279
01050;Boissey;3;0;390;3;17
01051;Bolozon;0;50;99;2;8
01052;Bouligneux;2;0;323;5;27
01053;Bourg-en-Bresse;126;7.9;42065;630;3255
01054;Bourg-Saint-Christophe;2;4.8;1540;21;80
01056;Boyeux-Saint-Jérôme;4;0;362;3;21
01057;Boz;6;0;509;1;33
01058;Brégnier-Cordon;14;9.1;812;11;70
01060;Brénod;3;0;547;5;35
01061;Brens;5;22.2;1117;18;69
01062;Bressolles;7;15.4;1003;13;63
01063;Brion;8;0;591;4;46
01064;Briord;8;12.5;1102;16;71
01065;Buellas;5;14.8;1884;27;97
01066;La Burbanche;1;0;97;1;6
01067;Ceignes;4;0;263;2;18
01068;Cerdon;2;0;755;9;62
01069;Certines;13;4.2;1518;24;91
01071;Cessy;14;5.1;5570;59;276
01072;Ceyzériat;20;7.1;3306;42;271
01073;Ceyzérieu;5;4.8;1028;21;61
01074;Chalamont;16;6.9;2544;29;187
01075;Chaleins;15;8.3;1436;24;127
01076;Chaley;1;0;127;1;5
01077;Challes-la-Montagne;1;N/A - résultat non disponible;185;N/A - résultat non disponible;8
01078;Challex;3;0;1628;14;58
01079;Champagne-en-Valromey;10;0;826;13;66
01080;Champdor-Corcelles;3;0;655;3;22
01081;Champfromier;7;16.7;709;6;45
01082;Chanay;3;0;595;2;21
01083;Chaneins;12;18.2;1041;22;90
01084;Chanoz-Châtenay;6;21.4;943;14;53
01085;La Chapelle-du-Châtelard;1;0;391;1;24
01087;Charix;0;0;280;4;15
01088;Charnoz-sur-Ain;2;0;925;7;76
01089;Château-Gaillard;19;15.4;2408;26;202
01090;Châtenay;1;0;358;5;31
01092;Châtillon-la-Palud;9;5.9;1675;17;111
01093;Châtillon-sur-Chalaronne;41;10.3;5154;78;492
01094;Chavannes-sur-Reyssouze;2;0;746;6;39
01095;Nivigne et Suran;9;23.1;822;13;51
01096;Chaveyriat;10;5.9;1057;17;82
01098;Chazey-Bons;12;0;1165;12;89
01099;Chazey-sur-Ain;7;5.6;1613;18;115
01100;Cheignieu-la-Balme;0;0;130;2;5
01101;Chevillard;0;0;149;2;3
01102;Chevroux;7;25;981;4;61
01103;Chevry;5;4.8;2301;21;59
01104;Chézery-Forens;4;0;436;3;28
01105;Civrieux;22;5.9;1986;34;209
01106;Cize;0;N/A - résultat non disponible;175;N/A - résultat non disponible;3
01107;Cleyzieu;4;0;144;1;11
01108;Coligny;18;0;1294;6;89
01109;Collonges;9;9.4;2260;32;125
01110;Colomieu;0;0;164;1;5
01111;Conand;1;N/A - résultat non disponible;136;N/A - résultat non disponible;7
01112;Condamine;3;0;477;6;27
01113;Condeissiat;4;20;815;10;52
01114;Confort;0;0;676;6;34
01115;Confrançon;9;20;1357;10;91
01116;Contrevoz;3;14.3;489;7;24
01117;Conzieu;4;N/A - résultat non disponible;148;N/A - résultat non disponible;14
01118;Corbonod;15;0;1315;8;74
01121;Corlier;2;N/A - résultat non disponible;116;N/A - résultat non disponible;9
01123;Cormoranche-sur-Saône;9;12.5;1165;16;59
01124;Cormoz;4;28.6;704;7;41
01125;Corveissiat;11;0;587;8;31
01127;Courmangoux;5;N/A - résultat non disponible;513;N/A - résultat non disponible;28
01128;Courtes;1;N/A - résultat non disponible;293;N/A - résultat non disponible;13
01129;Crans;1;0;316;4;12
01130;Bresse Vallons;20;6.7;2393;30;115
01133;Cressin-Rochefort;3;25;384;8;18
01134;Crottet;13;5;1844;20;123
01135;Crozet;10;4.2;2354;24;124
01136;Cruzilles-lès-Mépillat;8;23.1;951;13;46
01138;Culoz-Béon;25;10.3;3416;39;199
01139;Curciat-Dongalon;4;0;462;1;25
01140;Curtafond;5;0;805;7;53
01141;Cuzieu;1;33.3;423;3;23
01142;Dagneux;38;10.6;4741;94;349
01143;Divonne-les-Bains;18;1.4;10300;140;631
01145;Dompierre-sur-Veyle;3;11.1;1225;9;95
01146;Dompierre-sur-Chalaronne;2;0;453;3;22
01147;Domsure;7;0;540;4;30
01148;Dortan;23;4.2;2013;24;106
01149;Douvres;2;0;1108;9;54
01150;Drom;2;0;215;1;12
01151;Druillat;8;7.7;1144;13;71
01152;Échallon;4;11.1;774;9;44
01153;Échenevex;3;3.6;2227;28;88
01155;Évosges;0;0;143;2;7
01156;Faramans;3;12.5;905;8;45
01157;Fareins;35;2.9;2524;35;297
01158;Farges;3;23.5;1065;17;35
01159;Feillens;22;11.9;3388;42;248
01160;Ferney-Voltaire;18;5.7;11530;176;712
01162;Flaxieu;2;N/A - résultat non disponible;64;N/A - résultat non disponible;9
01163;Foissiat;13;20;2024;25;128
01165;Francheleins;8;20;1593;20;98
01166;Frans;14;15.8;2547;38;183
01167;Garnerans;3;0;685;5;48
01169;Genouilleux;2;15.4;675;13;35
01170;Béard-Géovreissiat;8;33.3;1048;9;69
01171;Géovreisset;10;0;843;7;54
01173;Gex;25;7.6;13455;172;576
01174;Giron;1;0;174;2;24
01175;Gorrevod;8;0;782;6;50
01177;Grand-Corent;0;0;186;2;8
01179;Grièges;4;19;1909;21;114
01180;Grilly;1;0;873;7;55
01181;Groissiat;39;4.8;1216;21;115
01183;Guéreins;27;8.7;1503;23;166
