Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
01001;L'Abergement-Clémenciat;45;859;52.2;18.8
01002;L'Abergement-de-Varey;20;273;29.2;0
01004;Ambérieu-en-Bugey;1072;15554;603.8;10
01005;Ambérieux-en-Dombes;147;1917;119.2;13.6
01006;Ambléon;3;114;19.2;0
01007;Ambronay;147;2828;84.4;8.3
01008;Ambutrix;54;764;147.1;16.7
01009;Andert-et-Condon;24;335;46.4;0
01010;Anglefort;50;1150;38.4;14.3
01011;Apremont;23;399;26.3;0
01012;Aranc;20;329;15.1;33.3
01013;Arandas;7;140;10;0
01014;Arbent;330;3482;145.1;22.2
01015;Arboys en Bugey;34;688;29.7;15.4
01016;Arbigny;23;459;26.3;42.9
01017;Argis;22;420;55.1;33.3
01019;Armix;2;25;3.8;N/A - résultat non disponible
01021;Ars-sur-Formans;108;1513;272.4;5.6
01022;Artemare;87;1141;313.9;16.7
01023;Asnières-sur-Saône;2;77;16.5;100
01024;Attignat;194;3372;178.5;7.4
01025;Bâgé-Dommartin;178;4057;71.5;13.2
01026;Bâgé-le-Châtel;64;987;1112.5;0
01027;Balan;146;2878;149.2;12.5
01028;Baneins;35;618;69.7;28.6
01029;Beaupont;33;717;49.8;14.3
01030;Beauregard;71;826;883;13.3
01031;Bellignat;259;3581;464.4;3.2
01032;Béligneux;229;3484;258.2;2.2
01033;Valserhône;870;16162;260.6;20
01034;Belley;720;9270;412.1;12
01035;Belleydoux;21;306;17.4;0
01036;Valromey-sur-Séran;76;1350;23.7;0
01037;Bénonces;18;311;20.2;N/A - résultat non disponible
01038;Bény;41;769;41.9;16.7
01040;Béréziat;22;481;44.3;0
01041;Bettant;32;762;222.3;33.3
01042;Bey;14;290;104.7;0
01043;Beynost;545;4936;458.4;8.9
01044;Billiat;34;669;45.7;20
01045;Birieux;16;280;17.9;0
01046;Biziat;39;897;79.4;0
01047;Blyes;125;1351;138.6;14.3
01049;La Boisse;279;3401;357.6;5.6
01050;Boissey;17;390;42.7;0
01051;Bolozon;8;99;19.3;50
01052;Bouligneux;27;323;12.5;0
01053;Bourg-en-Bresse;3255;42065;1740.4;7.9
01054;Bourg-Saint-Christophe;80;1540;168.9;4.8
